"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"d:\AnlysLab\Project\AnlysProject\README.md", "Markdown", 0, 2, 0, 1, 3
"d:\AnlysLab\Project\AnlysProject\SearchEngine.cpp", "C++", 89, 0, 19, 37, 145
"d:\AnlysLab\Project\AnlysProject\SearchEngine.h", "C++", 32, 0, 2, 15, 49
"d:\AnlysLab\Project\AnlysProject\TrieNode.h", "C++", 12, 0, 0, 3, 15
"d:\AnlysLab\Project\AnlysProject\TrieTree.cpp", "C++", 77, 0, 2, 27, 106
"d:\AnlysLab\Project\AnlysProject\TrieTree.h", "C++", 19, 0, 1, 11, 31
"d:\AnlysLab\Project\AnlysProject\WebPage.cpp", "C++", 57, 0, 2, 16, 75
"d:\AnlysLab\Project\AnlysProject\WebPage.h", "C++", 36, 0, 4, 11, 51
"d:\AnlysLab\Project\AnlysProject\main.cpp", "C++", 10, 0, 0, 4, 14
"Total", "-", 332, 2, 30, 125, 489
